Pin,Pin Name,Bank,IO Type
A10,GTYP_RXN2_109,109,GTYP
A11,GND,NA,NA
A12,GTYP_RXN3_109,109,GTYP
A13,GND,NA,NA
A14,GTYP_RXN1_110,110,GTYP
A15,GND,NA,NA
A16,GTYP_RXN3_110,110,GTYP
A17,GND,NA,NA
A18,GTYP_RXN0_111,111,GTYP
A19,GND,NA,NA
A20,GTYP_RXN1_111,111,GTYP
A21,GND,NA,NA
A22,GTYP_RXN2_111,111,GTYP
A23,GND,NA,NA
A24,GTYP_RXN3_111,111,GTYP
A25,GND,NA,NA
A26,GTYP_RXN1_112,112,GTYP
A27,GND,NA,NA
A28,GTYP_RXN3_112,112,GTYP
A29,GND,NA,NA
A30,GND,NA,NA
A31,GTYP_RXN2_212,212,GTYP
A32,GND,NA,NA
A33,GTYP_RXN0_212,212,GTYP
A34,GND,NA,NA
A35,GTYP_RXN3_211,211,GTYP
A36,GND,NA,NA
A37,GTYP_RXN2_211,211,GTYP
A38,GND,NA,NA
A39,GTYP_RXN0_211,211,GTYP
A4,GND,NA,NA
A40,GND,NA,NA
A41,GTYP_RXN2_210,210,GTYP
A42,GND,NA,NA
A43,GTYP_RXN0_210,210,GTYP
A44,GND,NA,NA
A45,GTYP_RXN3_209,209,GTYP
A46,GND,NA,NA
A47,GTYP_RXN2_209,209,GTYP
A48,GND,NA,NA
A49,GTYP_RXN1_209,209,GTYP
A5,GND,NA,NA
A50,GND,NA,NA
A51,GTYP_RXN0_209,209,GTYP
A52,GND,NA,NA
A53,GTYP_RXN3_208,208,GTYP
A54,GND,NA,NA
A55,GND,NA,NA
A6,GTYP_RXN0_109,109,GTYP
A7,GND,NA,NA
A8,GTYP_RXN1_109,109,GTYP
A9,GND,NA,NA
AA1,GND,NA,NA
AA10,GND,NA,NA
AA11,NC,NA,NA
AA12,NC,NA,NA
AA13,NC,NA,NA
AA14,GND,NA,NA
AA15,PMC_MIO45_501,501,PMCMIO
AA16,PMC_MIO44_501,501,PMCMIO
AA17,PMC_MIO43_501,501,PMCMIO
AA18,GND,NA,NA
AA19,VCCINT,NA,NA
AA2,GND,NA,NA
AA20,GND,NA,NA
AA21,VCCINT,NA,NA
AA22,GND,NA,NA
AA23,VCCINT,NA,NA
AA24,GND,NA,NA
AA25,VCCINT,NA,NA
AA26,GND,NA,NA
AA27,VCCINT,NA,NA
AA28,GND,NA,NA
AA29,VCCINT,NA,NA
AA3,GND,NA,NA
AA30,GND,NA,NA
AA31,VCCINT,NA,NA
AA32,GND,NA,NA
AA33,VCCINT,NA,NA
AA34,GND,NA,NA
AA35,VCCINT,NA,NA
AA36,GND,NA,NA
AA37,VCCINT,NA,NA
AA38,GND,NA,NA
AA39,VCCINT,NA,NA
AA4,NC,NA,NA
AA40,GND,NA,NA
AA41,VCCINT,NA,NA
AA42,GND,NA,NA
AA43,GND,NA,NA
AA44,GTYP_REFCLKP1_207,207,GTYP
AA45,GTYP_REFCLKN1_207,207,GTYP
AA46,GTYP_AVTT_LN,NA,GTYP
AA47,GND,NA,NA
AA48,GND,NA,NA
AA49,GND,NA,NA
AA5,NC,NA,NA
AA50,GND,NA,NA
AA51,GND,NA,NA
AA52,NC,NA,NA
AA53,NC,NA,NA
AA54,GND,NA,NA
AA55,GND,NA,NA
AA56,GND,NA,NA
AA57,NC,NA,NA
AA58,NC,NA,NA
AA6,GND,NA,NA
AA7,GND,NA,NA
AA8,GND,NA,NA
AA9,GND,NA,NA
AB1,NC,NA,NA
AB10,NC,NA,NA
AB11,NC,NA,NA
AB12,GND,NA,NA
AB13,NC,NA,NA
AB14,GND,NA,NA
AB15,GND,NA,NA
AB16,PMC_MIO46_501,501,PMCMIO
AB17,PMC_MIO47_501,501,PMCMIO
AB18,RSVD_VCCINT_GT,NA,NA
AB19,GND,NA,NA
AB2,NC,NA,NA
AB20,GND,NA,NA
AB21,VCC_SOC,NA,NA
AB22,VCC_SOC,NA,NA
AB23,GND,NA,NA
AB24,VCC_SOC,NA,NA
AB25,VCC_SOC,NA,NA
AB26,GND,NA,NA
AB27,VCC_SOC,NA,NA
AB28,VCC_SOC,NA,NA
AB29,GND,NA,NA
AB3,GND,NA,NA
AB30,VCC_SOC,NA,NA
AB31,VCC_SOC,NA,NA
AB32,GND,NA,NA
AB33,VCC_SOC,NA,NA
AB34,VCC_SOC,NA,NA
AB35,GND,NA,NA
AB36,VCC_SOC,NA,NA
AB37,VCC_SOC,NA,NA
AB38,GND,NA,NA
AB39,GND,NA,NA
AB4,GND,NA,NA
AB40,VCCINT,NA,NA
AB41,GND,NA,NA
AB42,VCCINT_GT_L,NA,NA
AB43,GND,NA,NA
AB44,GTYP_AVCC_LN,NA,GTYP
AB45,GND,NA,NA
AB46,GTYP_REFCLKP0_207,207,GTYP
AB47,GTYP_REFCLKN0_207,207,GTYP
AB48,NC,NA,NA
AB49,GND,NA,NA
AB5,GND,NA,NA
AB50,NC,NA,NA
AB51,NC,NA,NA
AB52,GND,NA,NA
AB53,GND,NA,NA
AB54,GND,NA,NA
AB55,NC,NA,NA
AB56,NC,NA,NA
AB57,GND,NA,NA
AB58,GND,NA,NA
AB6,NC,NA,NA
AB7,NC,NA,NA
AB8,GND,NA,NA
AB9,NC,NA,NA
AC1,GND,NA,NA
AC10,GND,NA,NA
AC11,NC,NA,NA
AC12,NC,NA,NA
AC13,NC,NA,NA
AC14,GND,NA,NA
AC15,PMC_MIO49_501,501,PMCMIO
AC16,PMC_MIO48_501,501,PMCMIO
AC17,GND,NA,NA
AC18,GND,NA,NA
AC19,VCCINT,NA,NA
AC2,GND,NA,NA
AC20,GND,NA,NA
AC21,VCCINT,NA,NA
AC22,GND,NA,NA
AC23,VCC_RAM,NA,NA
AC24,GND,NA,NA
AC25,VCC_RAM,NA,NA
AC26,GND,NA,NA
AC27,VCC_RAM,NA,NA
AC28,GND,NA,NA
AC29,VCC_RAM,NA,NA
AC3,GND,NA,NA
AC30,GND,NA,NA
AC31,VCC_RAM,NA,NA
AC32,GND,NA,NA
AC33,VCC_RAM,NA,NA
AC34,GND,NA,NA
AC35,VCC_RAM,NA,NA
AC36,GND,NA,NA
AC37,VCC_RAM,NA,NA
AC38,GND,NA,NA
AC39,VCCINT,NA,NA
AC4,NC,NA,NA
AC40,GND,NA,NA
AC41,VCCINT,NA,NA
AC42,GND,NA,NA
AC43,GND,NA,NA
AC44,NC,NA,NA
AC45,NC,NA,NA
AC46,NC,NA,NA
AC47,GND,NA,NA
AC48,GND,NA,NA
AC49,GND,NA,NA
AC5,NC,NA,NA
AC50,GND,NA,NA
AC51,GND,NA,NA
AC52,NC,NA,NA
AC53,NC,NA,NA
AC54,GND,NA,NA
AC55,GND,NA,NA
AC56,GND,NA,NA
AC57,NC,NA,NA
AC58,NC,NA,NA
AC6,GND,NA,NA
AC7,GND,NA,NA
AC8,GND,NA,NA
AC9,NC,NA,NA
AD1,NC,NA,NA
AD10,NC,NA,NA
AD11,NC,NA,NA
AD12,GND,NA,NA
AD13,NC,NA,NA
AD14,GND,NA,NA
AD15,GND,NA,NA
AD16,PMC_MIO50_501,501,PMCMIO
