Pin,Pin Name,Bank,I/O Type
AW12,GTYP_LPD_REFCLKN0_102,102,GTYP
AU12,GTYP_LPD_REFCLKN1_102,102,GTYP
AW13,GTYP_LPD_REFCLKP0_102,102,GTYP
AU13,GTYP_LPD_REFCLKP1_102,102,GTYP
BE3,GTYP_LPD_RXN0_102,102,GTYP
BD1,GTYP_LPD_RXN1_102,102,GTYP
BC3,GTYP_LPD_RXN2_102,102,GTYP
BB1,GTYP_LPD_RXN3_102,102,GTYP
BE4,GTYP_LPD_RXP0_102,102,GTYP
BD2,GTYP_LPD_RXP1_102,102,GTYP
BC4,GTYP_LPD_RXP2_102,102,GTYP
BB2,GTYP_LPD_RXP3_102,102,GTYP
BE8,GTYP_LPD_TXN0_102,102,GTYP
BD6,GTYP_LPD_TXN1_102,102,GTYP
BC8,GTYP_LPD_TXN2_102,102,GTYP
BB6,GTYP_LPD_TXN3_102,102,GTYP
BE9,GTYP_LPD_TXP0_102,102,GTYP
BD7,GTYP_LPD_TXP1_102,102,GTYP
BC9,GTYP_LPD_TXP2_102,102,GTYP
BB7,GTYP_LPD_TXP3_102,102,GTYP
AT10,GTYP_LPD_REFCLKN0_103,103,GTYP
AR12,GTYP_LPD_REFCLKN1_103,103,GTYP
AT11,GTYP_LPD_REFCLKP0_103,103,GTYP
AR13,GTYP_LPD_REFCLKP1_103,103,GTYP
BA3,GTYP_LPD_RXN0_103,103,GTYP
AY1,GTYP_LPD_RXN1_103,103,GTYP
AY5,GTYP_LPD_RXN2_103,103,GTYP
AW3,GTYP_LPD_RXN3_103,103,GTYP
BA4,GTYP_LPD_RXP0_103,103,GTYP
AY2,GTYP_LPD_RXP1_103,103,GTYP
AY6,GTYP_LPD_RXP2_103,103,GTYP
AW4,GTYP_LPD_RXP3_103,103,GTYP
BB10,GTYP_LPD_TXN0_103,103,GTYP
BA8,GTYP_LPD_TXN1_103,103,GTYP
AY10,GTYP_LPD_TXN2_103,103,GTYP
AW8,GTYP_LPD_TXN3_103,103,GTYP
BB11,GTYP_LPD_TXP0_103,103,GTYP
BA9,GTYP_LPD_TXP1_103,103,GTYP
AY11,GTYP_LPD_TXP2_103,103,GTYP
AW9,GTYP_LPD_TXP3_103,103,GTYP
AP10,GTYP_LPD_REFCLKN0_104,104,GTYP
AK10,GTYP_LPD_REFCLKN1_104,104,GTYP
AP11,GTYP_LPD_REFCLKP0_104,104,GTYP
AK11,GTYP_LPD_REFCLKP1_104,104,GTYP
AU3,GTYP_LPD_RXN0_104,104,GTYP
AT1,GTYP_LPD_RXN1_104,104,GTYP
AR3,GTYP_LPD_RXN2_104,104,GTYP
AP1,GTYP_LPD_RXN3_104,104,GTYP
AU4,GTYP_LPD_RXP0_104,104,GTYP
AT2,GTYP_LPD_RXP1_104,104,GTYP
AR4,GTYP_LPD_RXP2_104,104,GTYP
AP2,GTYP_LPD_RXP3_104,104,GTYP
AU8,GTYP_LPD_TXN0_104,104,GTYP
AT6,GTYP_LPD_TXN1_104,104,GTYP
AR8,GTYP_LPD_TXN2_104,104,GTYP
AP6,GTYP_LPD_TXN3_104,104,GTYP
AU9,GTYP_LPD_TXP0_104,104,GTYP
AT7,GTYP_LPD_TXP1_104,104,GTYP
AR9,GTYP_LPD_TXP2_104,104,GTYP
AP7,GTYP_LPD_TXP3_104,104,GTYP
AV10,GTYP_LPD_AVTTRCAL_RLC,105,NA
AJ12,GTYP_LPD_REFCLKN0_105,105,GTYP
AH10,GTYP_LPD_REFCLKN1_105,105,GTYP
AJ13,GTYP_LPD_REFCLKP0_105,105,GTYP
AH11,GTYP_LPD_REFCLKP1_105,105,GTYP
AV11,GTYP_LPD_RREF_RLC,105,GTYP
AN3,GTYP_LPD_RXN0_105,105,GTYP
AM1,GTYP_LPD_RXN1_105,105,GTYP
AL3,GTYP_LPD_RXN2_105,105,GTYP
AK1,GTYP_LPD_RXN3_105,105,GTYP
AN4,GTYP_LPD_RXP0_105,105,GTYP
AM2,GTYP_LPD_RXP1_105,105,GTYP
AL4,GTYP_LPD_RXP2_105,105,GTYP
AK2,GTYP_LPD_RXP3_105,105,GTYP
AN8,GTYP_LPD_TXN0_105,105,GTYP
AM6,GTYP_LPD_TXN1_105,105,GTYP
AL8,GTYP_LPD_TXN2_105,105,GTYP
AK6,GTYP_LPD_TXN3_105,105,GTYP
AN9,GTYP_LPD_TXP0_105,105,GTYP
AM7,GTYP_LPD_TXP1_105,105,GTYP
AL9,GTYP_LPD_TXP2_105,105,GTYP
AK7,GTYP_LPD_TXP3_105,105,GTYP
AH13,GTYP_AVCCAUX_RC,NA,NA
AK13,GTYP_AVCCAUX_RC,NA,NA
AL13,GTYP_AVCC_RC,NA,NA
AM13,GTYP_AVCC_RC,NA,NA
AM10,GTYP_AVTTRCAL_RC,106,NA
AJ11,GTYP_AVTT_RC,NA,NA
AL11,GTYP_AVTT_RC,NA,NA
AF10,GTYP_REFCLKN0_106,106,GTYP
AE12,GTYP_REFCLKN1_106,106,GTYP
AF11,GTYP_REFCLKP0_106,106,GTYP
AE13,GTYP_REFCLKP1_106,106,GTYP
AM11,GTYP_RREF_RC,106,GTYP
AJ3,GTYP_RXN0_106,106,GTYP
AH1,GTYP_RXN1_106,106,GTYP
AG3,GTYP_RXN2_106,106,GTYP
AF1,GTYP_RXN3_106,106,GTYP
AJ4,GTYP_RXP0_106,106,GTYP
AH2,GTYP_RXP1_106,106,GTYP
AG4,GTYP_RXP2_106,106,GTYP
AF2,GTYP_RXP3_106,106,GTYP
AJ8,GTYP_TXN0_106,106,GTYP
AH6,GTYP_TXN1_106,106,GTYP
AG8,GTYP_TXN2_106,106,GTYP
AF6,GTYP_TXN3_106,106,GTYP
AJ9,GTYP_TXP0_106,106,GTYP
AH7,GTYP_TXP1_106,106,GTYP
AG9,GTYP_TXP2_106,106,GTYP
AF7,GTYP_TXP3_106,106,GTYP
T10,GTYP_REFCLKN0_109,109,GTYP
P10,GTYP_REFCLKN1_109,109,GTYP
T11,GTYP_REFCLKP0_109,109,GTYP
P11,GTYP_REFCLKP1_109,109,GTYP
A6,GTYP_RXN0_109,109,GTYP
A8,GTYP_RXN1_109,109,GTYP
A10,GTYP_RXN2_109,109,GTYP
A12,GTYP_RXN3_109,109,GTYP
B6,GTYP_RXP0_109,109,GTYP
B8,GTYP_RXP1_109,109,GTYP
B10,GTYP_RXP2_109,109,GTYP
B12,GTYP_RXP3_109,109,GTYP
D9,GTYP_TXN0_109,109,GTYP
F10,GTYP_TXN1_109,109,GTYP
D11,GTYP_TXN2_109,109,GTYP
F12,GTYP_TXN3_109,109,GTYP
E9,GTYP_TXP0_109,109,GTYP
G10,GTYP_TXP1_109,109,GTYP
E11,GTYP_TXP2_109,109,GTYP
G12,GTYP_TXP3_109,109,GTYP
R12,GTYP_AVTTRCAL_RN,110,NA
N12,GTYP_REFCLKN0_110,110,GTYP
M10,GTYP_REFCLKN1_110,110,GTYP
N13,GTYP_REFCLKP0_110,110,GTYP
M11,GTYP_REFCLKP1_110,110,GTYP
R13,GTYP_RREF_RN,110,GTYP
C15,GTYP_RXN0_110,110,GTYP
A14,GTYP_RXN1_110,110,GTYP
C17,GTYP_RXN2_110,110,GTYP
